loan_id,product_code,status,control_ids,matching_hypotheses,implied_rate_offset_pct,interest_misstatement_inr,penal_misstatement_inr,closing_balance_diff_inr,exception_periods,first_exception_period,last_exception_period
LN0000058,HL-MCLR,Attributed,C-02,C-02 reset one cycle late,,-18169.38,0.0,-18169.38,30,2023-01,2025-06
LN0000061,MSME-FLT,Attributed,C-02,C-02 reset one cycle late,,-6792.31,0.0,-6792.31,36,2022-07,2025-06
LN0000091,HL-FLT,Attributed,C-02,C-02 reset one cycle late,,-6298.42,0.0,-6298.42,36,2022-07,2025-06
LN0000121,HL-FLT,Attributed,C-04,C-04 moratorium interest compounded,,11789.01,0.0,11789.01,53,2021-02,2025-06
LN0000122,HL-FLT,Attributed,C-06,C-06 daily rounding to 0dp,,-125.44,0.0,-125.44,44,2021-01,2025-05
LN0000136,MSME-FLT,Attributed,C-09,C-09 365-day basis in leap year,,861.88,0.0,861.88,18,2024-01,2025-06
LN0000175,HL-MCLR,Attributed,C-02,C-02 reset one cycle late,,-20834.58,0.0,-20834.58,30,2023-01,2025-06
LN0000179,HL-MCLR,Attributed,C-01,C-01 wrong spread (implied),-0.25,-45310.69,0.0,-45310.69,54,2021-01,2025-06
LN0000245,HL-FLT,Attributed,C-04,C-04 moratorium interest compounded,,9151.4,0.0,9151.4,53,2021-02,2025-06
LN0000248,HL-FLT,Attributed,C-07,C-07 stale pre-change spread,,14585.42,0.0,14585.42,21,2023-10,2025-06
LN0000271,GL-FIX,Attributed,C-01,C-01 wrong spread (implied),-0.25,-47.91,0.0,-47.91,3,2021-01,2021-03
LN0000292,HL-MCLR,Attributed,C-04,C-04 moratorium interest compounded,,7894.42,0.0,7894.42,14,2021-02,2022-03
LN0000316,GL-FIX,Attributed,C-08,C-08 accrual after closure,,696.16,0.0,696.16,1,2021-02,2021-02
LN0000384,HL-MCLR,Attributed,C-02,C-02 reset one cycle late,,-76403.03,0.0,-76403.03,30,2023-01,2025-06
LN0000387,MSME-FLT,Attributed,C-08,C-08 accrual after closure,,694.74,0.0,694.74,1,2023-05,2023-05
LN0000419,HL-FLT,Attributed,C-06,C-06 daily rounding to 0dp,,-117.57,0.0,-117.57,47,2021-02,2025-06
LN0000428,MSME-FLT,Attributed,C-05,C-05 penal interest +2.0% on rate,,8709.02,-1000.0,7709.02,8,2024-11,2025-06
LN0000458,HL-FLT,Attributed,C-07,C-07 stale pre-change spread,,21590.84,0.0,21590.84,21,2023-10,2025-06
LN0000513,PL-FIX,Attributed,C-08,C-08 accrual after closure,,1566.06,0.0,1566.06,1,2021-05,2021-05
LN0000552,PL-FIX,Attributed,C-03,C-03 30E/360 day-count,,150.52,0.0,150.52,39,2021-01,2024-03
LN0000586,PL-FIX,Attributed,C-03,C-03 30E/360 day-count,,235.7,0.0,235.7,13,2021-01,2022-01
LN0000600,HL-FLT,Attributed,C-02,C-02 reset one cycle late,,-53622.61,0.0,-53622.61,36,2022-07,2025-06
LN0000627,MSME-FLT,Attributed,C-09,C-09 365-day basis in leap year,,397.49,0.0,397.49,18,2024-01,2025-06
LN0000652,MSME-FLT,Attributed,C-09,C-09 365-day basis in leap year,,612.69,0.0,612.69,18,2024-01,2025-06
LN0000661,PL-FIX,Attributed,C-03,C-03 30E/360 day-count,,40.6,0.0,40.6,54,2021-01,2025-06
LN0000683,HL-MCLR,Attributed,C-04,C-04 moratorium interest compounded,,15502.41,0.0,15502.41,53,2021-02,2025-06
LN0000704,PL-FIX,Attributed,C-03,C-03 30E/360 day-count,,333.47,0.0,333.47,37,2021-01,2024-01
LN0000715,HL-FLT,Attributed,C-05+C-07,C-05 penal interest +2.0% on rate + C-07 stale pre-change spread,,13479.28,-750.0,12729.28,21,2023-10,2025-06
LN0000746,PL-FIX,Attributed,C-01,C-01 wrong spread (implied),0.1,865.35,0.0,865.35,25,2021-01,2023-01
LN0000748,PL-FIX,Attributed,C-03,C-03 30E/360 day-count,,35.74,0.0,35.74,13,2021-01,2022-01
LN0000826,PL-FIX,Attributed,C-06,C-06 daily rounding to 0dp,,-30.31,0.0,-30.31,25,2021-01,2023-01
LN0000830,GL-FIX,Attributed,C-08,C-08 accrual after closure,,669.3,0.0,669.3,1,2021-03,2021-03
LN0000849,MSME-FLT,Attributed,C-05+C-09,C-05 penal charge capitalised + C-09 365-day basis in leap year,,144.32,0.0,144.32,18,2024-01,2025-06
LN0000877,HL-FLT,Attributed,C-07,C-07 stale pre-change spread,,9997.14,0.0,9997.14,21,2023-10,2025-06
LN0000887,MSME-FLT,Attributed,C-09,C-09 365-day basis in leap year,,147.01,0.0,147.01,18,2024-01,2025-06
LN0000894,PL-FIX,Attributed,C-03,C-03 30E/360 day-count,,89.93,0.0,89.93,49,2021-01,2025-01
