loan_id,product_code,period,metric,expected_inr,system_inr,difference_inr,tolerance_inr
LN0000058,HL-MCLR,2023-01,closing_balance,998267.2,997250.0,-1017.2,99.83
LN0000058,HL-MCLR,2023-01,interest,7449.92,6432.72,-1017.2,1.0
LN0000058,HL-MCLR,2023-02,closing_balance,986606.78,984640.2,-1966.58,98.66
LN0000058,HL-MCLR,2023-02,closing_principal,986606.78,984640.2,-1966.58,98.66
LN0000058,HL-MCLR,2023-02,interest,6759.58,5810.2,-949.38,1.0
LN0000058,HL-MCLR,2023-03,closing_balance,984854.45,981827.66,-3026.79,98.49
LN0000058,HL-MCLR,2023-03,closing_principal,984854.45,981827.66,-3026.79,98.49
LN0000058,HL-MCLR,2023-03,interest,7457.67,6397.46,-1060.21,1.0
LN0000058,HL-MCLR,2023-04,closing_balance,982848.73,978791.07,-4057.66,98.28
LN0000058,HL-MCLR,2023-04,closing_principal,982848.73,978791.07,-4057.66,98.28
LN0000058,HL-MCLR,2023-04,interest,7204.28,6173.41,-1030.87,1.0
LN0000058,HL-MCLR,2023-05,closing_balance,981067.99,975940.53,-5127.46,98.11
LN0000058,HL-MCLR,2023-05,closing_principal,981067.99,975940.53,-5127.46,98.11
LN0000058,HL-MCLR,2023-05,interest,7429.26,6359.46,-1069.8,1.0
LN0000058,HL-MCLR,2023-06,closing_balance,979034.57,972866.92,-6167.65,97.9
LN0000058,HL-MCLR,2023-06,closing_principal,979034.57,972866.92,-6167.65,97.9
LN0000058,HL-MCLR,2023-06,interest,7176.58,6136.39,-1040.19,1.0
LN0000058,HL-MCLR,2023-07,closing_balance,977225.0,969977.89,-7247.11,97.72
LN0000058,HL-MCLR,2023-07,closing_principal,977225.0,969977.89,-7247.11,97.72
LN0000058,HL-MCLR,2023-07,interest,7400.43,6320.97,-1079.46,1.0
LN0000058,HL-MCLR,2023-08,closing_balance,975401.75,967070.09,-8331.66,97.54
LN0000058,HL-MCLR,2023-08,closing_principal,975401.75,967070.09,-8331.66,97.54
LN0000058,HL-MCLR,2023-08,interest,7386.75,6302.2,-1084.55,1.0
LN0000058,HL-MCLR,2023-09,closing_balance,973326.88,963940.71,-9386.17,97.33
LN0000058,HL-MCLR,2023-09,closing_principal,973326.88,963940.71,-9386.17,97.33
LN0000058,HL-MCLR,2023-09,interest,7135.13,6080.62,-1054.51,1.0
LN0000058,HL-MCLR,2023-10,closing_balance,971474.16,960993.68,-10480.48,97.15
LN0000058,HL-MCLR,2023-10,closing_principal,971474.16,960993.68,-10480.48,97.15
LN0000058,HL-MCLR,2023-10,interest,7357.28,6262.97,-1094.31,1.0
LN0000058,HL-MCLR,2023-11,closing_balance,969370.56,957826.09,-11544.47,96.94
LN0000058,HL-MCLR,2023-11,closing_principal,969370.56,957826.09,-11544.47,96.94
LN0000058,HL-MCLR,2023-11,interest,7106.4,6042.41,-1063.99,1.0
LN0000058,HL-MCLR,2023-12,closing_balance,967487.94,954839.34,-12648.6,96.75
LN0000058,HL-MCLR,2023-12,closing_principal,967487.94,954839.34,-12648.6,96.75
LN0000058,HL-MCLR,2023-12,interest,7327.38,6223.25,-1104.13,1.0
LN0000058,HL-MCLR,2024-01,closing_balance,965869.41,952814.18,-13055.23,96.59
LN0000058,HL-MCLR,2024-01,closing_principal,965869.41,952814.18,-13055.23,96.59
LN0000058,HL-MCLR,2024-01,interest,7591.47,7184.84,-406.63,1.0
LN0000058,HL-MCLR,2024-02,closing_balance,963557.89,950141.75,-13416.14,96.36
LN0000058,HL-MCLR,2024-02,closing_principal,963557.89,950141.75,-13416.14,96.36
LN0000058,HL-MCLR,2024-02,interest,7098.48,6737.57,-360.91,1.0
LN0000058,HL-MCLR,2024-03,closing_balance,961717.76,947913.78,-13803.98,96.17
LN0000058,HL-MCLR,2024-03,closing_principal,961717.76,947913.78,-13803.98,96.17
LN0000058,HL-MCLR,2024-03,interest,7569.87,7182.03,-387.84,1.0
