loan_id,control_id,impact_inr
LN0000058,C-02,-18169.38
LN0000061,C-02,-6792.31
LN0000091,C-02,-6298.42
LN0000121,C-04,11789.01
LN0000122,C-06,-125.44
LN0000136,C-09,861.88
LN0000175,C-02,-20834.58
LN0000179,C-01,-45310.69
LN0000245,C-04,9151.4
LN0000248,C-07,14585.42
LN0000271,C-01,-47.91
LN0000292,C-04,7894.42
LN0000316,C-08,696.16
LN0000384,C-02,-76403.03
LN0000387,C-08,694.74
LN0000419,C-06,-117.57
LN0000428,C-05,7709.02
LN0000458,C-07,21590.84
LN0000513,C-08,1566.06
LN0000552,C-03,150.52
LN0000586,C-03,235.7
LN0000600,C-02,-53622.61
LN0000627,C-09,397.49
LN0000652,C-09,612.69
LN0000661,C-03,40.6
LN0000683,C-04,15502.41
LN0000704,C-03,333.47
LN0000715,C-05,2948.49
LN0000715,C-07,9780.79
LN0000746,C-01,865.35
LN0000748,C-03,35.74
LN0000826,C-06,-30.31
LN0000830,C-08,669.3
LN0000849,C-05,8.91
LN0000849,C-09,135.41
LN0000877,C-07,9997.14
LN0000887,C-09,147.01
LN0000894,C-03,89.93
LN0001009,C-05,5.7
LN0001025,C-07,33829.91
LN0001095,C-05,-750.0
LN0001109,C-08,12760.62
LN0001124,C-08,1137.27
LN0001145,C-06,28.6
LN0001151,C-03,16.4
LN0001203,C-03,390.12
LN0001220,C-04,13008.6
LN0001292,C-02,-18734.73
LN0001457,C-07,39751.6
LN0001470,C-05,1744.8400000000001
LN0001531,C-06,-50.98
LN0001564,C-07,19184.18
LN0001653,C-04,13070.2
LN0001655,C-09,265.32
LN0001660,C-04,1111.91
LN0001660,C-09,152.0
LN0001678,C-01,44511.29
LN0001729,C-09,1.81
LN0001760,C-07,6410.06
LN0001941,C-09,160.11
LN0001948,C-01,366.54
LN0002009,C-06,-87.53
LN0002009,C-07,17557.0
LN0002021,C-03,1173.2
LN0002021,C-06,6.19
LN0002024,C-06,-0.04
LN0002029,C-01,239.47
LN0002063,C-01,-1175.63
LN0002122,C-07,12349.77
LN0002131,C-06,36.8
LN0002242,C-07,20402.57
LN0002245,C-04,76067.97
LN0002452,C-07,13538.07
LN0002464,C-06,63.22
LN0002491,C-01,10009.7
LN0002516,C-07,17297.89
LN0002563,C-02,-13714.3
LN0002563,C-09,540.3
LN0002676,C-07,38884.51
LN0002710,C-02,-15176.89
LN0002750,C-06,171.92
LN0002793,C-04,629.35
LN0002793,C-09,24.49
LN0002802,C-03,-168.22
LN0002812,C-06,-200.81
LN0002843,C-06,40.11
LN0002852,C-04,30611.28
LN0002873,C-04,2947.63
LN0002897,C-08,462.0
LN0002961,C-02,-14937.71
LN0002972,C-05,9.83
LN0003067,C-09,20.82
LN0003068,C-06,-38.61
LN0003072,C-09,1001.49
LN0003120,C-03,-254.95
LN0003208,C-06,-95.98
LN0003214,C-06,57.96
LN0003275,C-06,23.87
LN0003322,C-06,113.86
LN0003324,C-03,-673.19
LN0003360,C-01,1300.61
LN0003364,C-06,-179.96
LN0003365,C-01,154.97
LN0003380,C-08,17691.24
LN0003413,C-06,-19.41
LN0003455,C-01,14647.84
LN0003472,C-01,426.18
LN0003503,C-03,-104.34
LN0003526,C-06,91.96
LN0003531,C-04,810.45
LN0003538,C-08,640.24
LN0003564,C-09,144.36
LN0003593,C-01,145570.6
LN0003611,C-01,13907.57
LN0003629,C-01,73.71
LN0003631,C-07,18618.86
LN0003706,C-02,-6919.7
LN0003744,C-05,5.97
LN0003757,C-05,2752.13
LN0003818,C-02,-44796.03
LN0003821,C-08,1766.31
LN0003917,C-08,907.84
LN0003917,C-01,-275.92
LN0004031,C-09,395.16
LN0004076,C-01,21682.06
LN0004104,C-07,12942.03
LN0004106,C-01,16923.52
LN0004107,C-02,-16394.15
LN0004132,C-03,-87.06
LN0004162,C-04,725.04
LN0004162,C-08,742.01
LN0004275,C-02,-41037.59
LN0004339,C-08,785.35
LN0004362,C-07,15456.64
LN0004410,C-08,1799.55
LN0004470,C-02,-26958.19
LN0004527,C-03,-118.12
LN0004586,C-04,8799.29
LN0004595,C-05,-665.8399999999999
LN0004618,C-08,9072.3
LN0004630,C-01,97521.76
LN0004656,C-03,-63.37
LN0004659,C-03,-225.58
LN0004682,C-07,26415.09
LN0004697,C-03,-116.06
LN0004747,C-04,3128.0
LN0004769,C-03,-185.64
LN0004773,C-03,-205.92
LN0004783,C-06,-129.65
LN0004907,C-09,262.0
LN0004918,C-01,-869.12
LN0004921,C-01,-989.6
LN0004965,C-05,22.99
LN0005023,C-03,-171.33
LN0005036,C-07,7675.33
LN0005053,C-09,947.99
LN0005072,C-07,5283.14
LN0005079,C-02,-39171.51
LN0005084,C-09,46.47
LN0005111,C-07,12725.39
LN0005114,C-02,-34851.73
LN0005212,C-05,12.06
LN0005221,C-05,5751.98
LN0005223,C-09,945.56
LN0005311,C-08,3687.57
LN0005383,C-02,-24105.55
LN0005436,C-08,574.93
LN0005464,C-09,8.67
LN0005500,C-07,5278.36
LN0005512,C-09,104.44
LN0005518,C-06,11.11
LN0005541,C-02,-32905.97
LN0005562,C-01,8955.49
LN0005631,C-02,-24766.4
LN0005651,C-08,328.37
LN0005655,C-01,-24025.36
LN0005681,C-06,24.83
LN0005757,C-03,-155.71
LN0005777,C-06,28.47
LN0005815,C-02,-123487.46
LN0005817,C-07,9558.32
LN0005830,C-02,-10632.36
LN0005878,C-09,2.06
LN0005892,C-03,-100.7
LN0005910,C-01,-108289.87
LN0005994,C-05,3890.41
LN0006021,C-03,-125.28
LN0006071,C-03,-45.02
LN0006105,C-01,-940.41
LN0006247,C-01,-12873.85
LN0006320,C-04,5171.41
LN0006353,C-04,4770.76
LN0006361,C-07,11273.35
LN0006370,C-04,888.67
LN0006370,C-06,194.47
LN0006374,C-08,6398.2
LN0006404,C-05,2526.07
LN0006428,C-01,6739.5
LN0006431,C-06,210.41
LN0006471,C-02,-61640.08
LN0006574,C-03,-39.18
LN0006574,C-08,1029.26
LN0006586,C-07,12352.74
LN0006642,C-01,-53675.32
LN0006729,C-03,-134.15
LN0006843,C-04,515.47
LN0006849,C-06,-36.02
LN0006912,C-01,-21741.97
LN0006915,C-02,-15726.32
LN0006922,C-06,44.65
LN0006941,C-08,337.72
LN0006960,C-02,-11233.67
LN0006963,C-04,15959.5
LN0007089,C-07,2336.96
LN0007131,C-07,30395.01
LN0007192,C-08,683.35
LN0007213,C-05,6.08
LN0007223,C-09,89.25
LN0007240,C-02,-12185.86
LN0007272,C-04,12925.26
LN0007295,C-03,-302.37
LN0007307,C-07,11565.88
LN0007443,C-09,107.22
LN0007454,C-03,-182.69
LN0007459,C-01,252.34
LN0007463,C-01,-82.26
LN0007477,C-04,8167.61
LN0007481,C-06,109.45
LN0007510,C-04,17227.3
LN0007544,C-08,777.71
LN0007557,C-02,-69202.81
LN0007562,C-07,8498.44
LN0007615,C-09,71.26
LN0007655,C-08,2069.47
LN0007683,C-06,69.88
LN0007691,C-01,2548.65
LN0007736,C-03,-187.12
LN0007780,C-04,5707.13
LN0007817,C-02,-6790.56
LN0007819,C-01,12625.39
LN0007858,C-09,476.31
LN0007861,C-09,199.6
LN0007886,C-07,9637.75
LN0007964,C-02,-24644.63
LN0007977,C-06,-80.38
LN0008002,C-04,6351.93
LN0008045,C-06,31.81
LN0008055,C-09,162.93
LN0008106,C-06,-40.38
LN0008336,C-07,18799.99
LN0008353,C-09,910.53
LN0008358,C-01,-1589.1
LN0008372,C-07,14712.84
LN0008423,C-02,-6745.04
LN0008431,C-03,-42.18
LN0008513,C-01,-1563.44
LN0008589,C-03,-120.8
LN0008610,C-06,128.55
LN0008617,C-02,-11960.02
LN0008620,C-02,-19417.68
LN0008629,C-03,-66.34
LN0008660,C-03,-538.63
LN0008673,C-04,3158.52
