loan_id,product_code,principal_inr,tenure_months,risk_premium_pct,moratorium_months,disbursal_date,first_due_date,maturity_date,branch_code,region,has_exception,attribution_status,root_cause
LN0000001,GL-FIX,338000.0,9,1.95,0,2021-01-01,2021-10-31,2021-10-31,BR031,West,False,No exception,
LN0000002,GL-FIX,291000.0,12,0.8,0,2021-01-01,2022-01-31,2022-01-31,BR013,South,False,No exception,
LN0000003,GL-FIX,141000.0,6,1.4,0,2021-01-01,2021-07-31,2021-07-31,BR032,North,False,No exception,
LN0000004,GL-FIX,135000.0,12,0.25,0,2021-01-01,2022-01-31,2022-01-31,BR007,West,False,No exception,
LN0000005,GL-FIX,169000.0,9,2.25,0,2021-01-01,2021-10-31,2021-10-31,BR002,East,False,No exception,
LN0000006,HL-FLT,2216000.0,300,0.7,0,2021-01-01,2021-02-28,2046-01-31,BR004,North,False,No exception,
LN0000007,HL-FLT,1756000.0,240,0.6,0,2021-01-01,2021-02-28,2041-01-31,BR008,North,False,No exception,
LN0000008,HL-FLT,4336000.0,300,0.05,0,2021-01-01,2021-02-28,2046-01-31,BR023,West,False,No exception,
LN0000009,HL-FLT,4773000.0,240,0.15,0,2021-01-01,2021-02-28,2041-01-31,BR005,South,False,No exception,
LN0000010,HL-FLT,3460000.0,240,0.35,0,2021-01-01,2021-02-28,2041-01-31,BR017,South,False,No exception,
LN0000011,HL-FLT,2104000.0,180,0.5,0,2021-01-01,2021-02-28,2036-01-31,BR003,West,False,No exception,
LN0000012,HL-FLT,7463000.0,180,0.45,0,2021-01-01,2021-02-28,2036-01-31,BR019,West,False,No exception,
LN0000013,HL-FLT,4057000.0,300,0.1,0,2021-01-01,2021-02-28,2046-01-31,BR002,East,False,No exception,
LN0000014,HL-FLT,2893000.0,240,0.05,5,2021-01-01,2021-07-31,2041-06-30,BR034,East,False,No exception,
LN0000015,HL-FLT,5702000.0,180,0.1,0,2021-01-01,2021-02-28,2036-01-31,BR012,North,False,No exception,
