period_key,period,year,month,month_name,calendar_quarter,financial_year,fy_quarter,is_leap_year
202101,2021-01,2021,1,Jan,Q1,FY2020-21,Q4,False
202102,2021-02,2021,2,Feb,Q1,FY2020-21,Q4,False
202103,2021-03,2021,3,Mar,Q1,FY2020-21,Q4,False
202104,2021-04,2021,4,Apr,Q2,FY2021-22,Q1,False
202105,2021-05,2021,5,May,Q2,FY2021-22,Q1,False
202106,2021-06,2021,6,Jun,Q2,FY2021-22,Q1,False
202107,2021-07,2021,7,Jul,Q3,FY2021-22,Q2,False
202108,2021-08,2021,8,Aug,Q3,FY2021-22,Q2,False
202109,2021-09,2021,9,Sep,Q3,FY2021-22,Q2,False
202110,2021-10,2021,10,Oct,Q4,FY2021-22,Q3,False
202111,2021-11,2021,11,Nov,Q4,FY2021-22,Q3,False
202112,2021-12,2021,12,Dec,Q4,FY2021-22,Q3,False
202201,2022-01,2022,1,Jan,Q1,FY2021-22,Q4,False
202202,2022-02,2022,2,Feb,Q1,FY2021-22,Q4,False
202203,2022-03,2022,3,Mar,Q1,FY2021-22,Q4,False
202204,2022-04,2022,4,Apr,Q2,FY2022-23,Q1,False
202205,2022-05,2022,5,May,Q2,FY2022-23,Q1,False
202206,2022-06,2022,6,Jun,Q2,FY2022-23,Q1,False
202207,2022-07,2022,7,Jul,Q3,FY2022-23,Q2,False
202208,2022-08,2022,8,Aug,Q3,FY2022-23,Q2,False
202209,2022-09,2022,9,Sep,Q3,FY2022-23,Q2,False
202210,2022-10,2022,10,Oct,Q4,FY2022-23,Q3,False
202211,2022-11,2022,11,Nov,Q4,FY2022-23,Q3,False
202212,2022-12,2022,12,Dec,Q4,FY2022-23,Q3,False
202301,2023-01,2023,1,Jan,Q1,FY2022-23,Q4,False
202302,2023-02,2023,2,Feb,Q1,FY2022-23,Q4,False
202303,2023-03,2023,3,Mar,Q1,FY2022-23,Q4,False
202304,2023-04,2023,4,Apr,Q2,FY2023-24,Q1,False
202305,2023-05,2023,5,May,Q2,FY2023-24,Q1,False
202306,2023-06,2023,6,Jun,Q2,FY2023-24,Q1,False
202307,2023-07,2023,7,Jul,Q3,FY2023-24,Q2,False
202308,2023-08,2023,8,Aug,Q3,FY2023-24,Q2,False
202309,2023-09,2023,9,Sep,Q3,FY2023-24,Q2,False
202310,2023-10,2023,10,Oct,Q4,FY2023-24,Q3,False
202311,2023-11,2023,11,Nov,Q4,FY2023-24,Q3,False
202312,2023-12,2023,12,Dec,Q4,FY2023-24,Q3,False
202401,2024-01,2024,1,Jan,Q1,FY2023-24,Q4,True
202402,2024-02,2024,2,Feb,Q1,FY2023-24,Q4,True
202403,2024-03,2024,3,Mar,Q1,FY2023-24,Q4,True
202404,2024-04,2024,4,Apr,Q2,FY2024-25,Q1,True
202405,2024-05,2024,5,May,Q2,FY2024-25,Q1,True
202406,2024-06,2024,6,Jun,Q2,FY2024-25,Q1,True
202407,2024-07,2024,7,Jul,Q3,FY2024-25,Q2,True
202408,2024-08,2024,8,Aug,Q3,FY2024-25,Q2,True
202409,2024-09,2024,9,Sep,Q3,FY2024-25,Q2,True
202410,2024-10,2024,10,Oct,Q4,FY2024-25,Q3,True
202411,2024-11,2024,11,Nov,Q4,FY2024-25,Q3,True
202412,2024-12,2024,12,Dec,Q4,FY2024-25,Q3,True
202501,2025-01,2025,1,Jan,Q1,FY2024-25,Q4,False
202502,2025-02,2025,2,Feb,Q1,FY2024-25,Q4,False
202503,2025-03,2025,3,Mar,Q1,FY2024-25,Q4,False
202504,2025-04,2025,4,Apr,Q2,FY2025-26,Q1,False
202505,2025-05,2025,5,May,Q2,FY2025-26,Q1,False
202506,2025-06,2025,6,Jun,Q2,FY2025-26,Q1,False
